body_site	profiled_ERR2162200	profiled_ERR2162201	profiled_ERR2162202	profiled_ERR2162203	profiled_ERR2162204	profiled_ERR2162205	profiled_ERR2162206	profiled_ERR2162207	profiled_ERR2162208	profiled_ERR2162209	profiled_ERR2162210	profiled_ERR2162211	profiled_ERR2162212	profiled_ERR2162213	profiled_ERR2162214	profiled_ERR2162215	profiled_ERR2162216	profiled_ERR2162217	profiled_ERR2162218	profiled_ERR2162219	profiled_ERR2162220	profiled_ERR2162221	profiled_ERR2162222	profiled_ERR2162223	profiled_ERR2162224
s__Parabacteroides_distasonis	4.82006	0.45689	1.24885	0.40981	0.66859	3.57371	0	1.0804	2.65958	0	0	5.86028	2.30302	1.86612	2.07658	7.51429	0	9.29361	0.96248	0.49297	6.24781	2.28092	5.96909	3.34501	1.46815
s__Faecalibacterium_prausnitzii	0	2.46465	3.2508	8.35799	1.06688	4.21393	0	3.07934	2.99022	0	2.01432	1.4468	2.16618	3.70534	5.1178	1.15529	0.10013	3.97494	3.47926	2.10578	2.414	5.79755	8.22316	2.56984	0
s__Alistipes_putredinis	10.75728	7.34143	0.00139	1.66656	3.85358	6.82746	0	2.28706	4.07902	0	8.23987	4.77027	2.26526	5.43857	6.38759	3.59318	10.77482	0	6.2818	5.02219	0	1.23748	7.18525	0	3.31276
s__Lawsonibacter_asaccharolyticus	0	0.00913	0	0.08651	0.00869	0.24229	0	0.2848	0.04093	0	0.13672	0.32958	0.31874	0.15344	0.57262	0.5734	0.07301	0.42935	0.16432	0.26402	0.19113	0.19124	0.0546	0	0.81538
s__Enterocloster_bolteae	0.0256	0.00497	0.13246	0	0	0.00281	0.16448	0.13175	0.38881	1.50522	0	0.01528	0.03563	0.00039	0.01997	0.45712	0.02103	0.1919	1.12695	0	0.20161	0	0	1.17536	1.37785
s__Clostridiales_bacterium	0	0	2.15522	0	0.0297	0.25454	0	0.46132	0.46782	0	0.64383	0.5538	0.04014	0.12727	0.5259	0.4572	0.71489	0.66003	0.87018	0.05637	0.28236	0.00486	0.05866	0	0.19367
s__Dysosmobacter_sp_NSJ_60	0.0215	0.0225	0.09888	0	0	0.0396	0	0.03656	0.05515	0	0.03938	0.01	0.03242	0.09812	0.04948	0.11669	0.03246	0	0.05078	0.01892	0.08817	0	0.0352	0	0.09344
s__Eubacterium_rectale	0.20112	0.20198	0.03564	0.78977	0.32277	0.78608	0.62751	0.39164	0.02805	0	0.38072	0	1.73671	0	0.2986	0.62304	0	0.68958	1.61144	2.48247	0	0.14009	0.00316	0	0
s__Roseburia_intestinalis	0.04731	0	0.10761	0	0.02423	0.87473	0.05221	0.70695	0.33074	2.39943	0.78908	0.83782	0.43815	0	0.06554	0	0.02151	0	0.3894	0.16841	1.62052	0	1.51497	0.20065	0
s__Bilophila_wadsworthia	0	0.49441	1.16933	0.01231	0.32925	0.38848	0	0.88459	0.4354	0.56309	0.02761	0	0.68774	0.58244	0.3506	0	0	0.49072	0.43189	0.27927	0.27461	0.15471	0.41791	0	0
s__Clostridiaceae_bacterium	0	0	6.72295	0.03064	0.55106	0.55561	0	0.85015	0.84517	1.55941	0.01848	0.60488	0.4309	0.38589	0.65041	0	0	0.04131	0	0.31591	1.25519	0.4728	0.12085	0	0.2894
s__Candidatus_Cibionibacter_quicibialis	0.38219	0.43089	0	1.03831	0.23471	0.56656	0	1.2009	0	0	0.92044	0	0.1815	0.56577	0.40067	0	0.90087	0.67641	0.38269	1.12044	1.14298	0.47543	0.19255	0	0
s__Clostridium_sp_AF34_10BH	0.15436	0.01577	0.01238	0.08681	1.17128	2.37925	0	0.38325	0	0	0	0.75537	1.33931	0.16672	0.02051	0	0	0.02238	1.60929	1.25854	0	0.73375	0.38585	0	0.58523
s__Hungatella_hathewayi	0.01755	0	0.12633	0	0	0.02857	0.15817	0.00168	0	1.29931	0.01071	0.02935	0.25703	0.00086	0.0095	0.00448	0	0.01035	0.00936	0.01304	0.0026	0	0	0	0.86104
s__Lachnospira_eligens	0.08798	0.30334	0.45733	0.28348	0.31598	0.15426	0	0.74204	0.06939	0	0.21761	0	0.32337	0	0.07931	0	0	0.11885	0.43727	0.47965	0	0.37983	0.01444	0.08003	0
s__Anaerostipes_hadrus	0	0.02042	0	0.04473	0.01989	0.09637	0.58307	0.27756	0.18084	0.1889	0.03062	0	0.5623	0.05431	0	0.23489	0	0.42776	0.1677	0.07268	0	0.23435	0.17614	0	0
s__Roseburia_hominis	0	0.01305	0.15287	0.27583	0.00635	0.08546	0	0.65516	0.1807	0.01077	0.03579	1.97181	0.15638	0	0.01066	0	0	0	0	0.04073	0.25953	0.1016	0	0.14593	0.31684
s__Lacrimispora_amygdalina	0	0.0067	0.31886	0.07074	0.30327	0.18519	0	0.01935	0	0	0.25776	1.06044	0.06477	0.08476	0	0.31299	0.00147	0	0.1748	0.14418	0	0.03794	0.29297	0.77203	0
s__Clostridium_symbiosum	0	0	0.52905	0	0	0.01018	0.05015	0.27782	0.15359	1.46573	0.01171	0.08814	0.00854	0	0.01345	0.02767	1.22894	0.25656	0.22501	0	0.04939	0	0	0.05515	1.35466
s__Agathobaculum_butyriciproducens	0.07546	0.29509	0	0.03299	0.15431	0.10226	0	0.19582	0	0	0.08851	0	0.05328	0.07074	0	0.01496	0	0.01983	0.07396	0.07267	0.45892	0.09199	0.02369	0	0
s__Bacteroides_xylanisolvens	0.16731	0.02187	1.69603	0.01189	0.15722	0.14533	0	0.00714	0.00076	0	0	0.00396	0.30056	0.29303	0.09042	0.8156	1.81599	0	1.98036	2.335	0	0	0	0	0
s__Collinsella_SGB14861	0.68829	0.4529	0.15835	1.49076	0.07702	0.13958	0	0.30677	0	0	0.00569	0	0.10149	0	0.03599	0.03851	0	0.13548	0.01772	0.27352	0	1.19247	0.21552	0	0
s__Clostridium_leptum	0	0.22184	0	0.07427	0.02555	0	1.84999	0.06135	0.08965	0.36433	0.0184	0	0.04651	0.00957	0	0	1.75405	0	0	0.01691	0.00423	0.12009	0.0165	0	0.0345
s__Blautia_obeum	0	0.08594	0.26768	0.01017	0.0684	0.14025	0.30978	0.0141	0.10387	0	0.10049	0	0.03604	0.01614	0	0	0	0	0	0.09996	0.0775	0.00879	0.06947	0	0.02921
s__Bacteroides_thetaiotaomicron	0	0	2.73728	0.29284	0.11739	9.76495	0	2.97257	3.46081	40.6554	0	0.00245	1.16989	0.35764	0	0.84507	0	5.16769	3.36899	0.77536	0.46707	0	0	5.61093	0
s__Anaerobutyricum_hallii	0.38883	0.09592	0.27727	0	0.08375	0.21482	0	0.08925	0.16617	0	0.05772	0	0.40392	0.10235	0	0.17074	0	0	0	0.12823	0	0.04287	0.31344	0	0.35771
s__Evtepia_gabavorous	0.00755	0	0.29374	0.00938	0	0.03843	0	0	0	0.02265	0.0533	0.01547	0	0.02725	0.02375	0.02985	0.07955	0	0	0.069	0.01951	0	0.02112	0	0.05974
s__Gemmiger_formicilis	0.77565	0.41218	0	0.10339	0.29285	0.12043	0	0	0	0	0	0	2.4409	0.05347	0.33202	0.22291	0	0.34229	0.21146	0.23437	0.21299	0.0745	0.21972	0	0
s__Odoribacter_splanchnicus	1.07617	0	0	0.39587	0.74466	0.65337	0	0	0	0	0.77631	1.05594	1.46753	0.69491	0.37561	0.20862	0	0	0	0.58037	0.9213	0.14785	0.78425	0	0.36457
s__Roseburia_inulinivorans	0.17071	0.02699	5.24984	0.03829	0.1997	0.78442	0.00789	0.04336	0	0	0.07095	0	0.35894	0.25912	0.14801	0	0	0	0	0.18074	0	0.02118	0.0082	0	0
s__Ruminococcus_gnavus	0.11931	0	0.42897	0	0	0	0.30751	0.05778	0	0.07525	0	0.10445	0.01193	0.01284	0.00525	0.18681	0.0193	0.12927	0.05486	0	0	0	0	0.09232	0.00301
s__Alistipes_onderdonkii	0	0.37785	0	0.01485	0.74534	0.81838	0	0	0.53637	0	3.3119	4.45797	1.28012	1.21601	0.17317	0.17074	0	4.03526	0	7.62151	0	0.52345	1.16319	0	0
s__Parasutterella_excrementihominis	0	0.20479	0	0.08382	0.90716	1.27067	0	1.06966	0.81993	0	2.35441	0.06312	0	0.92257	1.97687	0	0	0	0.07037	0.34678	0.01342	0.01569	1.07966	0	0
s__Collinsella_aerofaciens	0	0.14268	0.55265	0.14848	0.0978	0.08871	2.182	0.23344	0	0	0.11032	0	0.1698	0.1417	0.16867	0	0	0.07624	0	0.11618	0	0.08761	0	0	0.07551
s__Blautia_massiliensis	0	0.04803	0	0.03996	0.06268	0.15579	0	0.2832	0.13812	0	0.07307	0.04186	0	0.20515	0.14057	0	0	0.1259	0	0.07804	0	0.03379	0.12905	0	0.00878
s__Bacteroides_fragilis	0	0.11282	0.05962	0.00705	0	2.52266	0	0.12454	1.1107	0	1.23867	1.30535	0.85868	0	0	0	0	0	0.74255	0.79901	0.2771	0	1.5082	0.15591	0
s__Firmicutes_bacterium_AF16_15	0	0.08371	0	0.05031	0.46899	0.11692	0	0.15509	0.09076	0	0.04816	0.11526	0.02877	0.0203	0	0	0	0	0	0.11282	0	0.22467	0.5963	0	0.04515
s__Clostridium_fessum	0	0.07045	0	0.18367	0.34141	0.95269	0	0.29387	1.09814	0	0	0	0.04076	0.09954	0.46496	0	0	0.70837	0.34033	0.45491	0	0.23572	0.31405	0	0
s__Alistipes_finegoldii	2.37296	2.00307	0	0.0217	0.74778	1.81315	0	2.26687	0.73801	0	0	0	0.55724	0	0	0.83748	0	2.8059	6.15251	0	3.38246	0.08103	0	0	0
s__Bifidobacterium_longum	0.02174	0.05856	0	0.02016	0.00074	0	0.45453	0	0	0.34209	0	0.03272	1.65023	0.06121	0.07017	0	0	0.04539	0	0.17102	0.20724	0	0	0	0
s__Eggerthella_lenta	0.01443	0	0.01385	0	0	0.00885	0.18947	0.00984	0.00806	0.03796	0	0.02847	0.00085	0	0	0	0	0.02332	0.06529	0	0.00498	0	0	0	0.36515
s__Enterocloster_aldenensis	0.0224	0	0.00145	0	0	0	0	0.00812	0	0.58257	0	0	0.00376	0	0.01526	0.06283	0.58951	0.18296	0.10637	0	0.06025	0	0	0.13194	0.90404
s__Enterocloster_clostridioformis	0.01096	0	0.00121	0	0	0	0.03552	0.02893	0.02871	0.48527	0	0	0.04795	0	0	1.51901	0.25134	0.03185	0.04849	0	0.25657	0	0	0	0.55182
s__Enterocloster_lavalensis	0.01716	0.02857	0	0	0	0.0178	0.02735	0.05388	0.00821	0	0.00366	0.03757	0.03568	0	0	0.07826	0	0.12379	0.29397	0	0	0	0	0	1.31148
s__Roseburia_faecis	1.39485	0.96672	0	0.73348	0.34529	4.22751	0.45014	0	0	0	6.81092	0	0.57699	0.72665	1.429	0	0	0	0	1.0363	0	0	2.00874	0	0.04816
s__Lachnospira_pectinoschiza	0	0.58255	6.23467	0.33069	0.31901	0	0.08807	0	0	0	0.70702	0	1.24769	0	0.20473	0.03808	0	2.65982	0	1.09029	0.44862	0	0	0.54708	0
s__GGB9534_SGB14937	0	0.2013	0.00807	0.01802	0	0.13158	0	0.16139	0	0	0.01805	0	0.04488	0.23205	0	0	0.80087	0	0.10725	0.06783	0.01011	0.03437	0	0	0
s__Vescimonas_coprocola	0	0.18295	0	0	0.05422	0	0	0.34229	0.17938	0	0.11629	0	0.0142	0.12201	0	0	0	0.04108	0.1982	0.28755	0.10425	0.00059	0.16031	0	0
s__Coprococcus_comes	0	0.03546	0	0.106	0.03927	0.26362	0	0.31804	0	0	0.16507	0	0.2453	0.14722	0.14318	0	0	0.2443	0	0.14537	0	0.11121	0.06534	0	0
s__Anaerotruncus_rubiinfantis	0	0.02207	0	0.00176	0	0.00454	0	0	0.00715	0.00691	0	0	0.00468	0.02175	0	0	0.01016	0	0.01771	0.00844	0.01254	0.00184	0	0	0.0597
s__Clostridia_bacterium_UC5_1_1D1	0	0.01635	0.01317	0	0	0.00174	0	0.01385	0	0	0	0.00062	0	0	0.00034	0.00299	0.05492	0.00758	0.00296	0.00034	0	0	0.00576	0	0.00235
s__GGB3653_SGB4964	0	0.01269	0	0	0	0.14476	0	0.05426	0.02308	0	0.032	0.15822	0.03434	0.01108	0	0	0	0	0.02876	0.0344	0.00176	0.03587	0	0	0.00141
s__Intestinimonas_massiliensis	0	0.01031	0.43206	0.01487	0	0.00245	0	0	0.03717	0	0	0	0.03363	0.00211	0	0	3.12032	0.01224	0.00221	0	0.13644	0.01042	0	0	0.19742
s__Anaerotruncus_colihominis	0	0.00233	0.9718	0	0	0	0	0.18815	0.01405	0.32882	0.00304	0.00318	0.01091	0	0	0.00142	0	0	0.04719	0	0.13934	0	0	0.05107	0.1301
s__Clostridiales_bacterium_1_7_47FAA	0	0	0.87989	0.00065	0	0.00507	0	0.0321	0.03838	0.03665	0	0.00472	0.00574	0	0	0.02186	0	0.00826	0.13372	0	0	0	0.00488	0	0.04198
s__Ruminococcus_bromii	0	0	0.7585	0.06755	0.09149	1.08782	0	0	0	0	1.04302	0	0	0.40771	0.51028	0.26864	0	0	0	1.7191	4.10686	0.14711	1.11426	0	2.17431
s__Enterocloster_citroniae	0	0	0.08112	0	0	0.00859	0.11199	0.00099	0.00989	0.08849	0	0.00275	0	0.00475	0	0.00908	0	0.01023	0.02935	0	0.02069	0	0	0	0.28354
s__Eubacterium_siraeum	0	0	0.05949	0.81072	0	0	0	0.0842	1.37092	0	0	0	0.21725	0.43027	0	0	0	0.53998	0.14779	0.01585	2.33912	0.24112	0.30337	0	1.57675
s__GGB58158_SGB79798	0	0	0	0	0	0.01324	0.00165	0.01663	0.01974	0	0.01258	0.0675	0	0.0135	0	0	0.07041	0	0.01563	0.02199	0.05317	0.00041	0	0	0.09935
s__Alistipes_shahii	1.48536	2.18396	0	0.49689	0.13494	0.43666	0	0	0	0	0.8607	0.35641	0.87029	0	0	0.18578	0	0	0.62525	0	0	0.13399	0.56241	0	0
s__Clostridium_sp_AT4	0.10752	0	0.72554	0	0	0.01829	2.19245	0.18659	0.13993	0	0.02771	0.20087	0	0.07591	0.03663	0	0.19122	0	0	0.00342	0	0	0	0	0
s__Dorea_formicigenerans	0.04571	0.04219	0	0	0.02992	0.0376	0	0	0	0	0.01097	0	0	0.07138	0.02336	0	0	0.01819	0.01964	0.00471	0	0.02784	0.05823	0	0
s__Escherichia_coli	0.1266	0	1.10153	0.00503	0.28414	0	5.12408	0	0.00195	0.81523	1.31837	0	0.24057	0	0	0.00421	2.25769	0	0	0	0	0	0	1.21879	0
s__Phascolarctobacterium_faecium	0	0.91133	0	0.00599	0.28553	1.1391	0	1.09188	0	0	0	0	1.30149	1.19737	2.42775	0	2.83316	1.32596	0	0	0	0.27797	1.30724	0	0
s__Bacteroides_caccae	0	0.73365	0	0.92237	1.49554	0	0	0.19129	0	36.42752	0	2.99567	1.22412	1.1048	1.16553	1.48517	0	2.00349	0	0	4.12326	0	0	0	0
s__Streptococcus_salivarius	0	0.36796	0.02803	0.14114	0	0	0	0.00129	0	0.01319	0.15255	0.0088	0.00373	0	0	0	0	0	0	0.01117	0	0.00304	0.01838	0.27037	0
s__Bacteroides_stercoris	0	0.22712	13.32295	0.07173	1.14402	0	0	0	0	0	5.83798	1.01595	1.87962	3.45208	5.64218	11.08364	0	0	0	4.43249	0	0.02847	0	0	0
s__GGB2653_SGB3574	0	0.04991	0.12098	0.00663	0	0.01419	0	0.03632	0.02177	0	0	0	0.04647	0.009	0	0	0	0	0.03625	0	0.01163	0.02864	0	0	0.03928
s__Streptococcus_thermophilus	0	0.00868	0	0.00691	0	0.00915	0.05806	0	0	0.0378	0	0.04757	0	0.01651	0.00496	0	0.52776	0.00806	0.00401	0	0	0.01349	0	0	0
s__Holdemania_filiformis	0	0.00117	0	0.00599	0	0.09191	0	0.13916	0.05088	0.15195	0	0	0	0	0	0.11333	0.08447	0	0.232	0.00866	0.08922	0.00863	0	0	0
s__Dialister_invisus	0	0	0.36127	0.36099	0	0	0	0	4.30425	1.25482	0.38961	0	0.07554	0	0	1.73009	0	0	0.73342	0.94251	0.45894	0.34515	0	0	0.1219
s__Phocea_massiliensis	0	0	0.06531	0	0	0.02544	0.11249	0	0.02528	0	0.04606	0	0.00111	0.06409	0.027	0	0.05913	0	0	0.02688	0.05737	0.00031	0	0	0
s__Methylobacterium_SGB15164	0	0	0	0.0125	0	0	0	0	0.05509	0	0.07931	0	0.00952	0.08982	0.22394	0.08607	0	0	0.00762	0.09831	0	0.00793	0.03753	0	0.10667
s__Clostridia_bacterium_UC5_1_1E11	0	0	0	0	0	0.02804	0	0.04617	0.02173	0	0.04359	0	0.04256	0.00135	0.0173	0.04637	3.1444	0	0.09909	0	0.00444	0	0	0	0.29904
s__Collinsella_SGB4121	0	0	0	0	0	0	0	0.036	0	0.01054	0.00721	0.01577	0.03134	0.05345	0.11486	0	0	0	0.03787	0.03381	0	0.01376	0.02225	0	0.21374
s__Dysosmobacter_sp_BX15	1.73423	0.01444	0	0.48404	0.91042	1.68623	0	0.12591	0	0	0	0	1.27226	0	0	0	1.28462	0	0	1.1117	0	0.60125	0.44935	0	0
s__Roseburia_sp_AF02_12	0.04871	0.1993	0	0.01333	0.07694	1.01821	0	0.36601	0	0	0	0	0.01692	0.01088	0	0.34791	0	0	0	0	0	0.13595	0	0	5.9837
s__Ruminococcus_bicirculans	0	0.57599	0.16551	3.49908	0.31362	0.00117	0.10586	0	0	1.24751	0.42925	0	1.65148	0	0	0	0	0	0	6.31703	0	0.02593	0	0	0
s__Clostridium_sp_AF36_4	0	0.28526	0.16039	0.15389	0	0	0	0.49439	0.12679	0	0	0.08168	0.10479	0	0	0	0	0	0.34386	0.55331	0	0.06343	0	0	0.12632
s__Dorea_longicatena	0	0.11505	1.00598	0.06036	0.13156	0.12906	0	0	0.0217	0	0	0	0.38758	0.28803	0	0	0	0	0	0.25573	0	0.19911	0.1495	0	0
s__Streptococcus_parasanguinis	0	0.09034	0.0174	0.43047	0.00781	0	0	0.02321	0	0	0.02219	0	0.00329	0	0	0	0	0	0.02998	0	0	0.00434	0.01121	0.16188	0
s__GGB3746_SGB5089	0	0.00962	0	0	0.06441	0	0	0.01529	0	0	0.15613	0.40018	0.01891	0.22819	0	0	0	0	0.02613	0	0	0.01691	0.20385	0	0.02025
s__Christensenellaceae_bacterium_NSJ_63	0	0.00102	0.00027	0	0	0.00059	0	0.02152	0.04271	0	0	0	0.01383	0.02074	0	0	0	0.01019	0	0.00051	0	0.00042	0	0	0.06989
s__Erysipelatoclostridium_ramosum	0	0	0.09019	0	0	0	0.00454	0.00867	0	0.01149	0	0.0015	0	0	0.00625	0.00299	0.03715	0.00666	0.06664	0	0	0	0	0	0.01307
s__Clostridiales_bacterium_KLE1615	0	0	0.01748	0.05125	0.09547	0.05922	0	0.03031	0.00316	0	0.15076	0	0	0.04905	0	0.01879	0	0	0	0.13967	0	0.41624	0	0	0
s__Blautia_caecimuris	0	0	0.00873	0	0	0	0.92794	0	0.01053	0.00766	0	0.06643	0	0	0.00904	0.02041	0.0012	0.07634	0.38792	0	0.03165	0	0	0	0
s__Intestinimonas_butyriciproducens	0	0	0	0	0	0.04174	0	0	0.00557	0	0.03008	0.16237	0.17158	0.00174	0.01762	0.03064	0	0	0.05401	0.16465	0.0268	0	0	0	0
s__GGB9480_SGB14874	0.46232	0	0	0	0	0.26259	2.35352	0	0.19914	0	0	0	0	0.53671	0	0	0.64573	0	1.66983	0	0.20318	0	0	0.29494	1.65011
s__Phocaeicola_dorei	0.45474	0	0.00063	0	0	0	0	2.43885	11.92584	0	5.24248	21.58034	0	0	0	0	0	30.80233	0	0	0	0.692	13.32325	0	9.88095
s__GGB9713_SGB15249	0	0.53229	0	0.79841	0.10705	0.03079	0	0	0.95998	0	0	0	1.49941	0	0	0	0	0	4.62203	0.8744	0	0.7486	0.01077	0	0
s__Lacrimispora_celerecrescens	0	0.24074	0	0.04375	0.0399	0	0	0	0	0	0.0497	0.3599	0	0.2384	0.20004	0	0	0	0	0.12616	0	0.11762	0.35487	0	0
s__Lachnospiraceae_bacterium	0	0.0842	0	0.00114	0.01776	0.04131	0	0	0	0	0	0.00017	0	0.01529	0	0	0	0	0	0.05019	0	0.03372	0.01102	0.00225	0
s__Hydrogenoanaerobacterium_saccharovorans	0	0.03221	0	0.15124	0	0	0	0	0	0	0	0.2393	0.07064	0.23957	0	0.09551	0	0	0.01572	0.1093	0.09707	0.04856	0	0	0
s__Candidatus_Pararuminococcus_gallinarum	0	0.01376	0.07486	0.03512	0	0.00416	0	0	0.00947	0	0	0	0.00388	0	0	0	0	0	0	0.01026	0.03221	0.00119	0	0	0.05621
s__Faecalibacterium_SGB15315	0	0.0106	0	0.00236	0.00613	0	0	0.54595	0	0	0	0	1.19382	0	0	0	0	0	0	0.04068	0.00601	0.36138	1.72078	0	1.32967
s__GGB9699_SGB15216	0	0.0018	0	0.00165	0.09335	0.03781	0	0.56228	0	0	0	0	0.07666	0.0407	0	0	0	0	0	0.0447	0	0.06726	0.03369	0	0
s__Clostridium_SGB4750	0	0.0011	0	0.04782	0	0.08946	0	0.01943	0	0	0.07057	0	0.09122	0.03564	0	0	0	0	0	0.00355	0	0.07716	0.06139	0	0
s__Lachnotalea_sp_AF33_28	0	5.00E-05	0.013	0	0	0	0	0.00956	0.02951	0	0	0.05906	0.00589	0.0013	0	0	0	0	0	0.00024	0.00503	0	0	0	0.04697
s__Longicatena_caecimuris	0	0	0.57646	0	0	0	0.10208	0	0	0	0.00055	0.01584	0	0	0	0.03776	0.05095	0.00371	0.10175	0	0.01639	0	0.02688	0	0
s__Faecalimonas_umbilicata	0	0	0.27718	0	0	0	0.2405	0.07883	0.05982	0.06271	0	0.06342	0	0	0	0.0653	0	0	0	0	0.03264	0	0	0.00431	0.15054
s__Adlercreutzia_equolifaciens	0	0	0.10962	0	0	0	0	0.0791	0.04223	0	0.00254	0	0.00519	0	0.01175	0.01089	0	0.01859	0.00481	0.04839	0	0	0	0	0
s__Clostridium_sp_AM22_11AC	0	0	0	0.04786	0.02096	0.09779	0.10357	0	0	0	0	0	0.02248	0.03158	0.02913	0	0	0	0	0.23971	0	0.05856	0.38923	0	0
s__Bacteroides_cellulosilyticus	0	0	0	0.00969	0.0325	0.07098	0	0	12.52774	0	2.49238	3.34288	4.18318	0	0	0.09808	0	14.63642	0	0	0	0.05797	0	0	0
s__Eisenbergiella_massiliensis	0	0	0	0	0	0	0.20346	0.01514	0	0.03072	0	0	0.03731	0	0.01999	0	0.26816	0.07162	0.95181	0	0.00988	0	0	0	0.40122
s__Eubacterium_ramulus	0.02253	0	0	0	0.01758	0.25245	0	0.48144	0	0	0.03617	0	0	0	0	0	0	0.12461	0	0.05422	0	0.02058	0.01301	0	0
s__Parabacteroides_merdae	1.36584	0	0	1.03444	1.17447	0	0	2.07691	0	0	0	0	0	0.99323	0.68561	1.35853	0	0	0	0	0	0	5.82316	0.26924	0
s__Phascolarctobacterium_SGB4573	0.04518	0.01357	0.01611	0	0	0.01478	0	0.90386	0.04544	0	0.03766	0	0	0	0	0	0	0.02282	2.86791	0	0	0	0	0	0
s__Oscillibacter_sp_ER4	0	0.14995	0	0.22319	0	1.14403	0	0.22162	0	0	0	0	1.52095	0.18794	0	0	0	0	0	2.7448	0	0.63039	0.28701	0	0
s__Mediterraneibacter_butyricigenes	0	0.04502	0	0.00323	0.01351	0.00051	0	0	0.01168	0	0	0	0.00268	0.0032	0	0	0	0	0	0.00237	0	0.00214	0	0	0
s__GGB33586_SGB53517	0	0.03105	0	0	0	0	0	0.05026	0.06163	0	0	0	0.04195	0.01193	0	0	0.0294	0	0	0.06759	0	0.01134	0	0	0.07364
s__GGB32900_SGB53446	0	0.02457	0	0.01838	0	0.03176	0	0	0	0	0	0	0.02019	0	0	0	0.01636	0	0.0231	0.01103	0	0.03886	0	0	0.05711
s__Coprococcus_catus	0	0.01201	0	0.02495	0.00306	0	0	0	0	0	0.03879	0	0.0328	0.01915	0	0	0	0	0	0.02877	0	0.02278	0.02494	0	0
s__Haemophilus_parainfluenzae	0	0.00098	0	0	0.00962	0	0	0	0	0.0042	0	0	0.00676	0	0	0	0	0.00735	0	0.02586	0	0.00103	0.04869	0.16731	0
s__Anaerotignum_faecicola	0	0	3.02058	0	0.33734	0	0	0.81439	0	0	0.39317	0	0.56773	0.25847	0.41239	0	0	0	0	0	0	0.14337	0	0.01221	0
s__Sellimonas_intestinalis	0	0	0.03041	0	0	0	0	0.01716	0	0	0	0	0.0156	0	0.01456	0.03433	0	0	0.0037	0	0.00257	0	0	0.01525	0.03176
s__Waltera_intestinalis	0	0	0.00961	0.01259	0.05006	0	0	0	0	0	0	0	0	0	0.10299	0	0	0	0	0.06701	0.46407	0.36293	0.31411	0.04352	0
